"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"01-Jan-2021","       21.0950","       21.3325","       19.2625","       19.5600","       21.0950","       -1.5400","  -7.28"
"04-Jan-2021","       19.5600","       21.0275","       19.3350","       20.0300","       19.5600","        0.4700","   2.40"
"05-Jan-2021","       20.0300","       21.0050","       20.0300","       20.4600","       20.0300","        0.4300","   2.15"
"06-Jan-2021","       20.4600","       21.6300","       20.4250","       20.9950","       20.4600","        0.5400","   2.61"
"07-Jan-2021","       20.9950","       20.9950","       20.1375","       20.6150","       20.9950","       -0.3800","  -1.81"
"08-Jan-2021","       20.6150","       20.8500","       17.3800","       20.6400","       20.6150","        0.0300","   0.12"
"11-Jan-2021","       20.6400","       22.7450","       20.6400","       22.3825","       20.6400","        1.7400","   8.44"
"12-Jan-2021","       22.3825","       23.2600","       22.2925","       22.8475","       22.3825","        0.4700","   2.08"
"13-Jan-2021","       22.8475","       24.0475","       22.3700","       23.2925","       22.8475","        0.4500","   1.95"
"14-Jan-2021","       23.2925","       23.7025","       22.8075","       23.0275","       23.2925","       -0.2700","  -1.14"
"15-Jan-2021","       23.0275","       24.6775","       23.0275","       24.0100","       23.0275","        0.9800","   4.27"
"18-Jan-2021","       24.0100","       25.4125","       23.5675","       24.3950","       24.0100","        0.3900","   1.60"
"19-Jan-2021","       24.3950","       24.3950","       20.3600","       22.8975","       24.3950","       -1.5000","  -6.14"
"20-Jan-2021","       22.8975","       23.1850","       19.3300","       21.5500","       22.8975","       -1.3500","  -5.88"
"21-Jan-2021","       21.5500","       22.7775","       18.6175","       22.1800","       21.5500","        0.6300","   2.92"
"22-Jan-2021","       22.1800","       23.0400","       18.7300","       22.4225","       22.1800","        0.2400","   1.09"
"25-Jan-2021","       22.4225","       23.8100","       20.3375","       23.2450","       22.4225","        0.8200","   3.67"
"27-Jan-2021","       23.2450","       24.7475","       20.8300","       24.3925","       23.2450","        1.1500","   4.94"
"28-Jan-2021","       24.3925","       25.2950","       23.4350","       24.2900","       24.3925","       -0.1000","  -0.42"
"29-Jan-2021","       24.2900","       25.9900","       22.0800","       25.3425","       24.2900","        1.0500","   4.33"
"01-Feb-2021","       25.3425","       25.9250","       22.6000","       23.3225","       25.3425","       -2.0200","  -7.97"
"02-Feb-2021","       23.3225","       23.6100","       21.0025","       23.3450","       23.3225","        0.0200","   0.10"
"03-Feb-2021","       23.3450","       24.1975","       20.9475","       23.7450","       23.3450","        0.4000","   1.71"
"04-Feb-2021","       23.7450","       23.9325","       22.0900","       23.1225","       23.7450","       -0.6200","  -2.62"
"05-Feb-2021","       23.1225","       23.9350","       20.0800","       23.4150","       23.1225","        0.2900","   1.27"
"08-Feb-2021","       23.4150","       24.3450","       22.1775","       23.9575","       23.4150","        0.5400","   2.32"
"09-Feb-2021","       23.9575","       24.4675","       21.4325","       24.2700","       23.9575","        0.3100","   1.30"
"10-Feb-2021","       24.2700","       24.9550","       20.9075","       23.9525","       24.2700","       -0.3200","  -1.31"
"11-Feb-2021","       23.9525","       24.2225","       21.0175","       23.0450","       23.9525","       -0.9100","  -3.79"
"12-Feb-2021","        0.0000","        0.0000","        0.0000","       23.0450","       23.9525","       -0.9100","  -3.79"
"15-Feb-2021","       22.0425","       22.3900","       20.8225","       21.4750","       22.0425","       -0.5700","  -2.57"
"16-Feb-2021","       21.4750","       22.1150","       20.5350","       21.7800","       21.4750","        0.3100","   1.42"
"17-Feb-2021","       21.7800","       21.8800","       21.0975","       21.5050","       21.7800","       -0.2800","  -1.26"
"18-Feb-2021","       21.5050","       22.0850","       19.9625","       21.5425","       21.5050","        0.0400","   0.17"
"19-Feb-2021","       21.5425","       22.8675","       19.3450","       22.2500","       21.5425","        0.7100","   3.28"
"22-Feb-2021","       22.2500","       25.8200","       20.0225","       25.4700","       22.2500","        3.2200","  14.47"
"23-Feb-2021","       25.4700","       25.6425","       23.8575","       25.2275","       25.4700","       -0.2400","  -0.95"
"24-Feb-2021","       25.2275","       25.2275","       23.4825","       24.1675","       25.2275","       -1.0600","  -4.20"
"25-Feb-2021","       24.1675","       24.1675","       22.6275","       22.8925","       24.1675","       -1.2800","  -5.28"
"26-Feb-2021","       22.8925","       29.6450","       22.8925","       28.1425","       22.8925","        5.2500","  22.93"
"01-Mar-2021","       28.1425","       28.1425","       24.9500","       25.6250","       28.1425","       -2.5200","  -8.95"
"02-Mar-2021","       25.6250","       25.6250","       23.2100","       23.6050","       25.6250","       -2.0200","  -7.88"
"03-Mar-2021","       23.6050","       23.6050","       21.8150","       22.0900","       23.6050","       -1.5200","  -6.42"
