Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change
07-Mar-17,13.64,14.0075,13.09,13.875,13.64,0.24,1.72
08-Mar-17,13.875,14.2875,12.6875,14.075,13.875,0.2,1.44
09-Mar-17,14.075,14.7825,12.6025,14.39,14.075,0.32,2.24
10-Mar-17,14.39,14.39,13.575,13.9575,14.39,-0.43,-3.01
14-Mar-17,13.9575,13.9575,11.085,12.4,13.9575,-1.56,-11.16
15-Mar-17,12.4,12.5325,11.2025,12.4225,12.4,0.02,0.18
16-Mar-17,12.4225,12.4225,11.3425,11.91,12.4225,-0.51,-4.13
17-Mar-17,11.91,12.1125,10.3875,11.8525,11.91,-0.06,-0.48
20-Mar-17,11.8525,12.31,11.44,12.0175,11.8525,0.17,1.39
21-Mar-17,12.0175,12.155,11.0325,11.9425,12.0175,-0.08,-0.62
22-Mar-17,11.9425,12.3575,11.5825,12.27,11.9425,0.33,2.74
23-Mar-17,12.27,12.27,11.2375,11.835,12.27,-0.44,-3.55
24-Mar-17,11.835,12.1025,10.705,11.9775,11.835,0.14,1.2
27-Mar-17,11.9775,12.57,11.3375,12.435,11.9775,0.46,3.82
28-Mar-17,12.435,12.435,11.46,12.1175,12.435,-0.32,-2.55
29-Mar-17,12.1175,12.24,11.45,12.0875,12.1175,-0.03,-0.25
30-Mar-17,12.0875,12.45,11.75,12.15,12.0875,0.06,0.52
31-Mar-17,12.15,12.5125,11.4875,12.42,12.15,0.27,2.22
03-Apr-17,12.42,12.7575,11.41,11.4925,12.42,-0.93,-7.47
05-Apr-17,11.4925,11.8875,10.89,11.55,11.4925,0.06,0.5
06-Apr-17,11.55,11.7675,11.0325,11.29,11.55,-0.26,-2.25
07-Apr-17,11.29,11.8125,10.305,11.6925,11.29,0.4,3.57
10-Apr-17,11.6925,11.9225,11.2425,11.62,11.6925,-0.07,-0.62
11-Apr-17,11.62,11.8325,10.2375,11.395,11.62,-0.23,-1.94
12-Apr-17,11.395,12.065,10.79,11.6275,11.395,0.23,2.04
13-Apr-17,11.6275,11.7825,10.585,11.5775,11.6275,-0.05,-0.43
17-Apr-17,11.5775,12.2125,10.6925,11.8925,11.5775,0.32,2.72
18-Apr-17,11.8925,12.5925,10.76,12.375,11.8925,0.48,4.06
19-Apr-17,12.375,12.515,10.745,12.215,12.375,-0.16,-1.29
20-Apr-17,12.215,12.215,10.855,11.56,12.215,-0.66,-5.36
21-Apr-17,11.56,11.735,10.555,11.4225,11.56,-0.14,-1.19
24-Apr-17,11.4225,11.855,10.9675,11.625,11.4225,0.2,1.77
25-Apr-17,11.625,11.625,10.9725,11.155,11.625,-0.47,-4.04
26-Apr-17,11.155,11.865,9.9175,11.74,11.155,0.59,5.24
27-Apr-17,11.74,11.74,10.36,11.07,11.74,-0.67,-5.71
28-Apr-17,11.07,11.07,10.5325,10.86,11.07,-0.21,-1.9
02-May-17,10.86,11.8075,10.3525,11.4475,10.86,0.59,5.41
03-May-17,11.4475,11.66,9.945,11.5275,11.4475,0.08,0.7
04-May-17,11.5275,11.7825,10.605,11.3325,11.5275,-0.2,-1.69
05-May-17,11.3325,12.16,10.4525,11.9875,11.3325,0.66,5.78
08-May-17,11.9875,11.9875,10.6125,11.665,11.9875,-0.32,-2.69
09-May-17,11.665,11.665,10.5425,11.1125,11.665,-0.55,-4.74
10-May-17,11.1125,11.1125,9.9575,10.9475,11.1125,-0.17,-1.48
11-May-17,10.9475,11.26,9.8975,10.8375,10.9475,-0.11,-1
12-May-17,10.8375,10.8375,9.465,10.6275,10.8375,-0.21,-1.94
15-May-17,10.6275,11.14,8.835,10.675,10.6275,0.05,0.45
16-May-17,10.675,11.0225,9.065,10.56,10.675,-0.12,-1.08
17-May-17,10.56,10.8075,9.245,10.635,10.56,0.08,0.71
18-May-17,10.635,12.745,9.8175,11.785,10.635,1.15,10.81
19-May-17,11.785,11.9,10.3975,11.3025,11.785,-0.48,-4.09
22-May-17,11.3025,11.8525,10.2,11.2025,11.3025,-0.1,-0.88
23-May-17,11.2025,12.765,9.865,12.2025,11.2025,1,8.93
24-May-17,12.2025,12.785,10.45,11.83,12.2025,-0.37,-3.05
25-May-17,11.83,11.92,10.1925,10.4475,11.83,-1.38,-11.69
26-May-17,10.4475,11.1875,9.8875,10.8625,10.4475,0.42,3.97
29-May-17,10.8625,11.8775,10.26,11.7875,10.8625,0.93,8.52
30-May-17,11.7875,12.2725,10.8625,11.765,11.7875,-0.02,-0.19
31-May-17,11.765,12.2475,11.02,11.7625,11.765,0,-0.02
01-Jun-17,11.7625,11.9125,10.6125,11.3075,11.7625,-0.46,-3.87
02-Jun-17,11.3075,11.3075,10.3125,10.81,11.3075,-0.5,-4.4
05-Jun-17,10.81,11.1425,10.0525,11.015,10.81,0.21,1.9
06-Jun-17,11.015,11.32,9.49,11.1325,11.015,0.12,1.07
07-Jun-17,11.1325,11.185,10.2225,10.89,11.1325,-0.24,-2.18
08-Jun-17,10.89,11.1275,9.5275,11.0675,10.89,0.18,1.63
09-Jun-17,11.0675,11.225,10.275,10.8625,11.0675,-0.21,-1.85
12-Jun-17,10.8625,11.5025,10.3525,11.4225,10.8625,0.56,5.16
13-Jun-17,11.4225,11.4625,9.9025,11.34,11.4225,-0.08,-0.72
14-Jun-17,11.34,11.5275,10.44,11.18,11.34,-0.16,-1.41
15-Jun-17,11.18,11.43,9.885,11.325,11.18,0.15,1.3
16-Jun-17,11.325,11.325,9.7125,10.915,11.325,-0.41,-3.62
19-Jun-17,10.915,10.915,9.7425,10.6275,10.915,-0.29,-2.63
20-Jun-17,10.6275,10.8725,9.82,10.6575,10.6275,0.03,0.28
21-Jun-17,10.6575,11.055,9.775,10.915,10.6575,0.26,2.42
22-Jun-17,10.915,11.42,10.07,11.2075,10.915,0.29,2.68
23-Jun-17,11.2075,11.78,8.755,11.5575,11.2075,0.35,3.12
27-Jun-17,11.5575,12.8675,10.93,12.5075,11.5575,0.95,8.22
28-Jun-17,12.5075,12.755,11.0925,11.99,12.5075,-0.52,-4.14
29-Jun-17,11.99,11.99,10.595,11.3825,11.99,-0.61,-5.07
30-Jun-17,11.3825,12.1025,11.0775,11.7325,11.3825,0.35,3.07
03-Jul-17,11.7325,11.75,10.455,11.2,11.7325,-0.53,-4.54
04-Jul-17,11.2,11.645,10.42,11.275,11.2,0.08,0.67
05-Jul-17,11.275,11.42,10.45,11.1525,11.275,-0.12,-1.09
06-Jul-17,11.1525,11.175,10.2875,10.9825,11.1525,-0.17,-1.52
07-Jul-17,10.9825,11.125,9.615,10.8675,10.9825,-0.12,-1.05
10-Jul-17,10.8675,11.0925,9.57,10.9125,10.8675,0.05,0.41
11-Jul-17,10.9125,11.0775,9.8975,10.89,10.9125,-0.02,-0.21
12-Jul-17,10.89,11.3,9.6725,11.0525,10.89,0.16,1.49
13-Jul-17,11.0525,11.395,9.86,11.2475,11.0525,0.2,1.76
14-Jul-17,11.2475,11.4775,10.065,11.1725,11.2475,-0.08,-0.67
17-Jul-17,11.1725,11.5675,10.48,11.4575,11.1725,0.29,2.55
18-Jul-17,11.4575,11.79,10.285,11.49,11.4575,0.03,0.28
19-Jul-17,11.49,11.685,9.0775,11.255,11.49,-0.24,-2.05
