"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"23-Feb-2023","       15.5875","       16.0100","       14.5175","       15.0750","       15.5875","       -0.5100","  -3.29"
"24-Feb-2023","       15.0750","       15.1425","       14.0075","       14.1850","       15.0750","       -0.8900","  -5.90"
"27-Feb-2023","       14.1850","       15.0975","       13.7500","       13.8750","       14.1850","       -0.3100","  -2.19"
"28-Feb-2023","       13.8750","       14.5675","       13.5000","       14.0200","       13.8750","        0.1500","   1.05"
"01-Mar-2023","       14.0200","       14.0200","       12.2750","       12.9950","       14.0200","       -1.0300","  -7.31"
"02-Mar-2023","       12.9950","       13.5500","       11.1000","       12.9700","       12.9950","       -0.0300","  -0.19"
"03-Mar-2023","       12.9700","       12.9700","       11.9800","       12.1800","       12.9700","       -0.7900","  -6.09"
"06-Mar-2023","       12.1800","       12.4725","       11.8375","       12.2675","       12.1800","        0.0900","   0.72"
"08-Mar-2023","       12.2675","       12.8475","       11.8975","       12.4500","       12.2675","        0.1800","   1.49"
"09-Mar-2023","       12.4500","       12.8425","       11.7800","       12.7250","       12.4500","        0.2800","   2.21"
"10-Mar-2023","       12.7250","       13.8175","       12.7250","       13.4125","       12.7250","        0.6900","   5.40"
"13-Mar-2023","       13.4125","       16.4275","       13.4125","       16.2150","       13.4125","        2.8000","  20.89"
"14-Mar-2023","       16.2150","       16.6425","       15.0025","       16.2175","       16.2150","        0.0000","   0.02"
"15-Mar-2023","       16.2175","       16.5050","       14.5175","       16.2950","       16.2175","        0.0800","   0.48"
"16-Mar-2023","       16.2950","       17.3550","       13.9500","       16.2175","       16.2950","       -0.0800","  -0.48"
"17-Mar-2023","       16.2175","       16.2175","       14.6000","       14.7675","       16.2175","       -1.4500","  -8.94"
"20-Mar-2023","       14.7675","       17.2200","       14.5200","       16.0075","       14.7675","        1.2400","   8.40"
"21-Mar-2023","       16.0075","       16.0350","       14.0825","       15.0825","       16.0075","       -0.9300","  -5.78"
"22-Mar-2023","       15.0825","       15.0925","       14.2425","       14.8075","       15.0825","       -0.2800","  -1.82"
"23-Mar-2023","       14.8075","       15.0575","       13.9025","       14.4900","       14.8075","       -0.3200","  -2.14"
"24-Mar-2023","       14.4900","       15.4300","       14.2025","       15.2400","       14.4900","        0.7500","   5.18"
"27-Mar-2023","       15.2400","       16.0925","       15.0975","       15.4450","       15.2400","        0.2100","   1.35"
"28-Mar-2023","       15.4450","       15.6075","       14.8650","       15.1000","       15.4450","       -0.3500","  -2.23"
"29-Mar-2023","       15.1000","       15.1000","       13.3200","       13.6275","       15.1000","       -1.4700","  -9.75"
"31-Mar-2023","       13.6275","       13.6275","       12.0725","       12.9350","       13.6275","       -0.6900","  -5.08"
