"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"03-Jan-2022","       16.2225","       16.8100","       15.4525","       16.4525","       16.2225","        0.2300","   1.42"
"04-Jan-2022","       16.4525","       16.6750","       15.7100","       16.1200","       16.4525","       -0.3300","  -2.02"
"05-Jan-2022","       16.1200","       17.3800","       15.0875","       17.2275","       16.1200","        1.1100","   6.87"
"06-Jan-2022","       17.2275","       18.4175","       16.4000","       17.9775","       17.2275","        0.7500","   4.35"
"07-Jan-2022","       17.9775","       18.0900","       16.8600","       17.6025","       17.9775","       -0.3800","  -2.09"
"10-Jan-2022","       17.6025","       18.3900","       15.8425","       17.6775","       17.6025","        0.0800","   0.43"
"11-Jan-2022","       17.6775","       18.2475","       16.4375","       17.7575","       17.6775","        0.0800","   0.45"
"12-Jan-2022","       17.7575","       17.9250","       16.5475","       17.1825","       17.7575","       -0.5800","  -3.24"
"13-Jan-2022","       17.1825","       17.5250","       16.6075","       16.7050","       17.1825","       -0.4800","  -2.78"
"14-Jan-2022","       16.7050","       17.1000","       15.3425","       16.5550","       16.7050","       -0.1500","  -0.90"
"17-Jan-2022","       16.5550","       17.5475","       16.2675","       16.7650","       16.5550","        0.2100","   1.27"
"18-Jan-2022","       16.7650","       17.8750","       16.7650","       17.7800","       16.7650","        1.0200","   6.05"
"19-Jan-2022","       17.7800","       18.4475","       15.9400","       17.8175","       17.7800","        0.0400","   0.21"
"20-Jan-2022","       17.8175","       18.4500","       17.3200","       17.7900","       17.8175","       -0.0300","  -0.15"
"21-Jan-2022","       17.7900","       19.6050","       16.9825","       18.8875","       17.7900","        1.1000","   6.17"
"24-Jan-2022","       18.8875","       23.9000","       18.8875","       22.8250","       18.8875","        3.9400","  20.85"
"25-Jan-2022","       22.8250","       24.1375","       21.1800","       21.3575","       22.8250","       -1.4700","  -6.43"
"27-Jan-2022","       21.3575","       23.8675","       20.4425","       21.0650","       21.3575","       -0.2900","  -1.37"
"28-Jan-2022","       21.0650","       21.3200","       20.2825","       20.6950","       21.0650","       -0.3700","  -1.76"
"31-Jan-2022","       20.6950","       22.1100","       20.6950","       21.9525","       20.6950","        1.2600","   6.08"
"01-Feb-2022","       21.9525","       22.0700","       19.7450","       19.9775","       21.9525","       -1.9800","  -9.00"
"02-Feb-2022","       19.9775","       19.9775","       18.5475","       18.6500","       19.9775","       -1.3300","  -6.64"
"03-Feb-2022","       18.6500","       19.5950","       17.4075","       19.1600","       18.6500","        0.5100","   2.73"
"04-Feb-2022","       19.1600","       19.7775","       18.5950","       18.8975","       19.1600","       -0.2600","  -1.37"
"07-Feb-2022","       18.8975","       21.0825","       18.1825","       20.4375","       18.8975","        1.5400","   8.15"
"08-Feb-2022","       20.4375","       20.9375","       19.5550","       19.6850","       20.4375","       -0.7500","  -3.68"
"09-Feb-2022","       19.6850","       19.6850","       17.8850","       18.5550","       19.6850","       -1.1300","  -5.74"
"10-Feb-2022","       18.5550","       18.9250","       16.8000","       17.7100","       18.5550","       -0.8500","  -4.55"
"11-Feb-2022","       17.7100","       19.5325","       16.8550","       18.6800","       17.7100","        0.9700","   5.48"
"14-Feb-2022","       18.6800","       23.5350","       18.6800","       22.9775","       18.6800","        4.3000","  23.01"
"15-Feb-2022","       22.9775","       23.1400","       20.4350","       20.6125","       22.9775","       -2.3700"," -10.29"
"16-Feb-2022","       20.6125","       21.0200","       19.3525","       20.5925","       20.6125","       -0.0200","  -0.10"
"17-Feb-2022","       20.5925","       22.3700","       19.4625","       22.0050","       20.5925","        1.4100","   6.86"
"18-Feb-2022","       22.0050","       23.2100","       21.6350","       22.1650","       22.0050","        0.1600","   0.73"
"21-Feb-2022","       22.1650","       23.7550","       20.5700","       22.9025","       22.1650","        0.7400","   3.33"
"22-Feb-2022","       22.9025","       27.8150","       22.9025","       26.6625","       22.9025","        3.7600","  16.42"
"23-Feb-2022","       26.6625","       26.6625","       23.9075","       24.5425","       26.6625","       -2.1200","  -7.95"
"24-Feb-2022","       24.5425","       33.9725","       24.5425","       31.9825","       24.5425","        7.4400","  30.31"
"25-Feb-2022","       31.9825","       31.9825","       26.1500","       26.7400","       31.9825","       -5.2400"," -16.39"
"28-Feb-2022","       26.7400","       29.7850","       26.7400","       28.5700","       26.7400","        1.8300","   6.84"
"02-Mar-2022","       28.5700","       30.8425","       28.5700","       29.2325","       28.5700","        0.6600","   2.32"
"03-Mar-2022","       29.2325","       29.2325","       27.2225","       28.1550","       29.2325","       -1.0800","  -3.69"
"04-Mar-2022","       28.1550","       29.9250","       27.2225","       27.9575","       28.1550","       -0.2000","  -0.70"
"07-Mar-2022","       27.9575","       30.2775","       27.9575","       29.3300","       27.9575","        1.3700","   4.91"
"08-Mar-2022","       29.3300","       30.0575","       27.1125","       28.5875","       29.3300","       -0.7400","  -2.53"
"09-Mar-2022","       28.5875","       28.5875","       27.3050","       27.4675","       28.5875","       -1.1200","  -3.92"
"10-Mar-2022","       27.4675","       27.4675","       22.9625","       25.5825","       27.4675","       -1.8900","  -6.86"
"11-Mar-2022","       25.5825","       25.8725","       24.5800","       25.3450","       25.5825","       -0.2400","  -0.93"
"14-Mar-2022","       25.3450","       26.2125","       25.0900","       25.6775","       25.3450","        0.3300","   1.31"
"15-Mar-2022","       25.6775","       27.5425","       23.6575","       26.7300","       25.6775","        1.0500","   4.10"
"16-Mar-2022","       26.7300","       26.7300","       24.0125","       24.1175","       26.7300","       -2.6100","  -9.77"
